"user_id","started","lastdata","therm_sens","therm_comfort","therm_pref","therm_accep","met","air_velocity","air_quality","humidity","overall_comfort","tiredness"
FA369774,2023-11-29 16:01:44.000,2023-11-29 16:04:55.000,4.0,4,3,1,1.0,5,5,5,4.0,3
MB654888,2023-11-29 16:01:46.000,2023-11-29 16:04:45.000,3.0,4,3,1,1.0,5,5,5,4.0,4
FA872888,2023-11-29 16:09:10.000,2023-11-29 16:09:40.000,4.0,4,3,1,1.0,4,3,3,4.0,3
FA369774,2023-11-29 16:11:39.000,2023-11-29 16:13:00.000,4.0,4,2,1,1.0,5,5,4,4.0,3
MB654888,2023-11-29 16:11:50.000,2023-11-29 16:13:05.000,3.0,4,3,1,1.0,5,5,5,4.0,4
MG451892,2023-12-01 10:38:37.000,2023-12-01 11:01:23.000,4.0,5,2,1,1.0,4,4,4,6.0,4
FH276183,2023-12-01 10:38:46.000,2023-12-01 11:01:05.000,3.0,3,3,2,1.0,4,5,4,3.0,4
FA872888,2023-12-01 11:01:46.000,2023-12-01 11:05:23.000,3.0,4,3,1,1.0,3,4,4,4.0,3
FH276183,2023-12-01 11:09:09.000,2023-12-01 11:10:14.000,3.0,3,3,2,1.0,4,4,4,3.0,4
MG451892,2023-12-01 11:09:11.000,2023-12-01 11:10:21.000,4.0,5,2,1,1.0,4,4,4,5.0,4
FA872888,2023-12-01 11:11:42.000,2023-12-01 11:12:17.000,3.0,4,3,1,1.0,2,3,4,4.0,3
FH276183,2023-12-01 11:19:07.000,2023-12-01 11:20:24.000,3.0,3,3,2,1.0,4,4,4,3.0,4
MG451892,2023-12-01 11:19:10.000,2023-12-01 11:20:09.000,4.0,5,2,1,1.0,4,4,4,6.0,4
FA872888,2023-12-01 11:21:48.000,2023-12-01 11:22:42.000,4.0,4,2,1,1.0,3,4,4,4.0,3
FH276183,2023-12-01 11:29:06.000,2023-12-01 11:30:08.000,3.0,3,3,2,1.0,4,4,4,3.0,4
MG451892,2023-12-01 11:29:10.000,2023-12-01 11:29:50.000,4.0,5,2,1,1.0,4,4,4,5.0,4
FA872888,2023-12-01 11:31:43.000,2023-12-01 11:32:13.000,3.0,4,3,1,1.0,3,4,4,4.0,3
FH276183,2023-12-01 11:39:07.000,2023-12-01 11:40:20.000,3.0,3,3,2,1.0,4,4,3,3.0,3
MG451892,2023-12-01 11:39:11.000,2023-12-01 11:40:17.000,3.0,5,2,1,1.0,3,4,4,5.0,4
FA872888,2023-12-01 11:41:43.000,2023-12-01 11:42:24.000,3.0,4,3,1,1.0,3,3,4,4.0,3
FH276183,2023-12-01 11:49:08.000,2023-12-01 11:49:57.000,2.0,3,3,2,1.0,4,4,3,3.0,4
MG451892,2023-12-01 11:49:09.000,2023-12-01 11:50:09.000,4.0,5,2,1,1.0,5,4,4,5.0,4
FA872888,2023-12-01 11:51:44.000,2023-12-01 11:52:19.000,3.0,4,3,1,1.0,3,3,4,4.0,3
FH276183,2023-12-01 11:59:06.000,2023-12-01 12:00:23.000,2.0,3,3,2,1.0,4,4,4,3.0,4
MG451892,2023-12-01 11:59:11.000,2023-12-01 11:59:56.000,3.0,5,2,1,1.0,5,4,4,5.0,4
FA872888,2023-12-01 12:01:43.000,2023-12-01 12:02:18.000,3.0,4,3,1,1.0,3,3,4,4.0,3
FH276183,2023-12-01 12:09:09.000,2023-12-01 12:10:13.000,3.0,3,3,2,1.0,4,5,3,3.0,4
